"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
2.187 nsec,4.940 fV
2.192 nsec,4.379 fV
2.197 nsec,4.030 fV
2.202 nsec,3.897 fV
2.207 nsec,3.525 fV
2.212 nsec,2.917 fV
2.217 nsec,2.562 fV
2.222 nsec,2.426 fV
2.227 nsec,2.108 fV
2.232 nsec,1.811 fV
2.237 nsec,2.236 fV
2.242 nsec,2.565 fV
2.247 nsec,1.834 fV
2.252 nsec,1.111 fV
2.257 nsec,1.279 fV
2.262 nsec,1.529 fV
2.267 nsec,1.671 fV
2.272 nsec,2.142 fV
2.277 nsec,2.277 fV
2.282 nsec,1.562 fV
2.287 nsec,1.420 fV
2.292 nsec,2.003 fV
2.297 nsec,2.205 fV
2.302 nsec,2.037 fV
2.307 nsec,1.819 fV
2.312 nsec,1.619 fV
2.317 nsec,1.631 fV
2.322 nsec,2.338 fV
2.327 nsec,2.526 fV
2.332 nsec,1.860 fV
2.337 nsec,852.4 aV
2.342 nsec,95.27 aV
2.347 nsec,-452.2 aV
2.352 nsec,-814.4 aV
2.357 nsec,-729.6 aV
2.362 nsec,-870.8 aV
2.367 nsec,-1.801 fV
2.372 nsec,-2.760 fV
2.377 nsec,-3.215 fV
2.382 nsec,-3.803 fV
2.387 nsec,-4.566 fV
2.392 nsec,-5.450 fV
2.397 nsec,-6.051 fV
2.401 nsec,-6.787 fV
2.406 nsec,-7.211 fV
2.411 nsec,-7.061 fV
2.416 nsec,-7.186 fV
2.421 nsec,-7.242 fV
2.426 nsec,-6.516 fV
2.431 nsec,-5.385 fV
2.436 nsec,-4.267 fV
2.441 nsec,-3.269 fV
2.446 nsec,-2.412 fV
2.451 nsec,-1.227 fV
2.456 nsec,455.6 aV
2.461 nsec,1.916 fV
2.466 nsec,3.222 fV
2.471 nsec,4.444 fV
2.476 nsec,5.502 fV
2.481 nsec,6.693 fV
2.486 nsec,7.588 fV
2.491 nsec,8.389 fV
2.496 nsec,9.744 fV
2.501 nsec,11.09 fV
2.506 nsec,12.08 fV
2.511 nsec,13.09 fV
2.516 nsec,14.47 fV
2.521 nsec,14.82 fV
2.526 nsec,14.94 fV
2.531 nsec,15.61 fV
2.536 nsec,16.15 fV
2.541 nsec,16.01 fV
2.546 nsec,16.32 fV
2.551 nsec,17.14 fV
2.556 nsec,17.60 fV
2.561 nsec,17.60 fV
2.566 nsec,17.37 fV
2.571 nsec,17.09 fV
2.576 nsec,17.05 fV
2.581 nsec,16.88 fV
2.586 nsec,16.61 fV
2.591 nsec,16.15 fV
2.596 nsec,15.44 fV
2.601 nsec,14.85 fV
2.606 nsec,14.10 fV
2.611 nsec,12.60 fV
2.616 nsec,11.01 fV
2.621 nsec,9.526 fV
2.626 nsec,7.876 fV
2.631 nsec,6.248 fV
2.636 nsec,4.919 fV
2.641 nsec,3.253 fV
2.646 nsec,989.1 aV
2.651 nsec,-1.332 fV
2.656 nsec,-3.038 fV
2.661 nsec,-5.300 fV
2.666 nsec,-8.086 fV
2.671 nsec,-10.28 fV
2.676 nsec,-11.69 fV
2.681 nsec,-13.22 fV
2.686 nsec,-14.12 fV
2.691 nsec,-14.76 fV
2.696 nsec,-15.65 fV
