"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [601]
Matrix Size : scalar
Type : Real"
27.54 kHz,-100.863
28.18 kHz,-101.115
28.84 kHz,-101.367
29.51 kHz,-101.619
30.20 kHz,-101.870
30.90 kHz,-102.120
31.62 kHz,-102.370
32.36 kHz,-102.619
33.11 kHz,-102.868
33.88 kHz,-103.116
34.67 kHz,-103.364
35.48 kHz,-103.611
36.31 kHz,-103.858
37.15 kHz,-104.104
38.02 kHz,-104.350
38.90 kHz,-104.595
39.81 kHz,-104.840
40.74 kHz,-105.084
41.69 kHz,-105.328
42.66 kHz,-105.571
43.65 kHz,-105.814
44.67 kHz,-106.056
45.71 kHz,-106.298
46.77 kHz,-106.540
47.86 kHz,-106.781
48.98 kHz,-107.021
50.12 kHz,-107.261
51.29 kHz,-107.501
52.48 kHz,-107.740
53.70 kHz,-107.979
54.95 kHz,-108.217
56.23 kHz,-108.455
57.54 kHz,-108.692
58.88 kHz,-108.929
60.26 kHz,-109.166
61.66 kHz,-109.402
63.10 kHz,-109.638
64.57 kHz,-109.874
66.07 kHz,-110.109
67.61 kHz,-110.343
69.18 kHz,-110.578
70.79 kHz,-110.812
72.44 kHz,-111.045
74.13 kHz,-111.279
75.86 kHz,-111.511
77.62 kHz,-111.744
79.43 kHz,-111.976
81.28 kHz,-112.208
83.18 kHz,-112.440
85.11 kHz,-112.671
87.10 kHz,-112.902
89.13 kHz,-113.133
91.20 kHz,-113.363
93.33 kHz,-113.593
95.50 kHz,-113.823
97.72 kHz,-114.053
100.0 kHz,-114.282
102.3 kHz,-114.511
104.7 kHz,-114.740
107.2 kHz,-114.969
109.6 kHz,-115.197
112.2 kHz,-115.426
114.8 kHz,-115.654
117.5 kHz,-115.882
120.2 kHz,-116.109
123.0 kHz,-116.337
125.9 kHz,-116.564
128.8 kHz,-116.791
131.8 kHz,-117.018
134.9 kHz,-117.245
138.0 kHz,-117.471
141.3 kHz,-117.698
144.5 kHz,-117.924
147.9 kHz,-118.150
151.4 kHz,-118.376
154.9 kHz,-118.602
158.5 kHz,-118.828
162.2 kHz,-119.054
166.0 kHz,-119.279
169.8 kHz,-119.505
173.8 kHz,-119.731
177.8 kHz,-119.956
182.0 kHz,-120.181
186.2 kHz,-120.407
190.5 kHz,-120.632
195.0 kHz,-120.857
199.5 kHz,-121.082
204.2 kHz,-121.307
208.9 kHz,-121.532
213.8 kHz,-121.757
218.8 kHz,-121.983
223.9 kHz,-122.208
229.1 kHz,-122.433
234.4 kHz,-122.658
239.9 kHz,-122.883
245.5 kHz,-123.107
251.2 kHz,-123.332
257.0 kHz,-123.557
263.0 kHz,-123.782
