"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.145 GHz,-56.048
1.145 GHz,-56.059
1.145 GHz,-56.071
1.146 GHz,-56.083
1.146 GHz,-56.095
1.146 GHz,-56.107
1.147 GHz,-56.118
1.147 GHz,-56.130
1.147 GHz,-56.142
1.147 GHz,-56.154
1.148 GHz,-56.166
1.148 GHz,-56.177
1.148 GHz,-56.189
1.149 GHz,-56.201
1.149 GHz,-56.213
1.149 GHz,-56.225
1.149 GHz,-56.236
1.150 GHz,-56.248
1.150 GHz,-56.260
1.150 GHz,-56.273
1.150 GHz,-56.287
1.151 GHz,-56.300
1.151 GHz,-56.314
1.151 GHz,-56.328
1.152 GHz,-56.342
1.152 GHz,-56.355
1.152 GHz,-56.369
1.152 GHz,-56.383
1.153 GHz,-56.397
1.153 GHz,-56.410
1.153 GHz,-56.424
1.154 GHz,-56.438
1.154 GHz,-56.452
1.154 GHz,-56.465
1.154 GHz,-56.479
1.155 GHz,-56.493
1.155 GHz,-56.506
1.155 GHz,-56.520
1.156 GHz,-56.534
1.156 GHz,-56.548
1.156 GHz,-56.561
1.156 GHz,-56.575
1.157 GHz,-56.589
1.157 GHz,-56.603
1.157 GHz,-56.616
1.157 GHz,-56.630
1.158 GHz,-56.644
1.158 GHz,-56.657
1.158 GHz,-56.671
1.159 GHz,-56.685
1.159 GHz,-56.699
1.159 GHz,-56.712
1.159 GHz,-56.726
1.160 GHz,-56.740
1.160 GHz,-56.754
1.160 GHz,-56.767
1.161 GHz,-56.781
1.161 GHz,-56.795
1.161 GHz,-56.809
1.161 GHz,-56.823
1.162 GHz,-56.836
1.162 GHz,-56.850
1.162 GHz,-56.864
1.163 GHz,-56.878
1.163 GHz,-56.892
1.163 GHz,-56.905
1.163 GHz,-56.919
1.164 GHz,-56.933
1.164 GHz,-56.947
1.164 GHz,-56.961
1.165 GHz,-56.975
1.165 GHz,-56.988
1.165 GHz,-57.002
1.165 GHz,-57.016
1.166 GHz,-57.030
1.166 GHz,-57.044
1.166 GHz,-57.057
1.167 GHz,-57.071
1.167 GHz,-57.085
1.167 GHz,-57.099
1.167 GHz,-57.113
1.168 GHz,-57.126
1.168 GHz,-57.140
1.168 GHz,-57.154
1.168 GHz,-57.168
1.169 GHz,-57.182
1.169 GHz,-57.195
1.169 GHz,-57.209
1.170 GHz,-57.223
1.170 GHz,-57.237
1.170 GHz,-57.250
1.170 GHz,-57.264
1.171 GHz,-57.278
1.171 GHz,-57.291
1.171 GHz,-57.305
1.172 GHz,-57.319
1.172 GHz,-57.332
1.172 GHz,-57.346
1.172 GHz,-57.359
1.173 GHz,-57.373
1.173 GHz,-57.387
1.173 GHz,-57.400
1.174 GHz,-57.414
1.174 GHz,-57.428
1.174 GHz,-57.441
1.174 GHz,-57.455
1.175 GHz,-57.468
1.175 GHz,-57.482
1.175 GHz,-57.496
1.175 GHz,-57.509
1.176 GHz,-57.523
1.176 GHz,-57.536
1.176 GHz,-57.550
1.177 GHz,-57.564
1.177 GHz,-57.577
1.177 GHz,-57.591
1.177 GHz,-57.604
1.178 GHz,-57.618
1.178 GHz,-57.632
1.178 GHz,-57.645
1.179 GHz,-57.659
1.179 GHz,-57.672
1.179 GHz,-57.686
1.179 GHz,-57.700
1.180 GHz,-57.713
1.180 GHz,-57.727
1.180 GHz,-57.738
1.181 GHz,-57.749
1.181 GHz,-57.759
1.181 GHz,-57.770
1.181 GHz,-57.781
1.182 GHz,-57.792
1.182 GHz,-57.803
