"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.178 GHz,-57.391
1.179 GHz,-57.406
1.179 GHz,-57.420
1.179 GHz,-57.434
1.179 GHz,-57.448
1.180 GHz,-57.462
1.180 GHz,-57.476
1.180 GHz,-57.488
1.181 GHz,-57.499
1.181 GHz,-57.511
1.181 GHz,-57.522
1.181 GHz,-57.533
1.182 GHz,-57.545
1.182 GHz,-57.556
1.182 GHz,-57.568
1.183 GHz,-57.579
1.183 GHz,-57.590
1.183 GHz,-57.602
1.183 GHz,-57.613
1.184 GHz,-57.625
1.184 GHz,-57.636
1.184 GHz,-57.647
1.185 GHz,-57.659
1.185 GHz,-57.670
1.185 GHz,-57.682
1.185 GHz,-57.693
1.186 GHz,-57.704
1.186 GHz,-57.716
1.186 GHz,-57.727
1.186 GHz,-57.739
1.187 GHz,-57.750
1.187 GHz,-57.761
1.187 GHz,-57.773
1.188 GHz,-57.784
1.188 GHz,-57.795
1.188 GHz,-57.807
1.188 GHz,-57.818
1.189 GHz,-57.830
1.189 GHz,-57.841
1.189 GHz,-57.852
1.190 GHz,-57.864
1.190 GHz,-57.875
1.190 GHz,-57.888
1.190 GHz,-57.904
1.191 GHz,-57.919
1.191 GHz,-57.935
1.191 GHz,-57.950
1.192 GHz,-57.965
1.192 GHz,-57.981
1.192 GHz,-57.996
1.192 GHz,-58.012
1.193 GHz,-58.027
1.193 GHz,-58.043
1.193 GHz,-58.058
1.194 GHz,-58.073
1.194 GHz,-58.089
1.194 GHz,-58.104
1.194 GHz,-58.120
1.195 GHz,-58.135
1.195 GHz,-58.151
1.195 GHz,-58.166
1.195 GHz,-58.181
1.196 GHz,-58.197
1.196 GHz,-58.212
1.196 GHz,-58.228
1.197 GHz,-58.243
1.197 GHz,-58.259
1.197 GHz,-58.274
1.197 GHz,-58.289
1.198 GHz,-58.305
1.198 GHz,-58.320
1.198 GHz,-58.336
1.199 GHz,-58.351
1.199 GHz,-58.366
1.199 GHz,-58.382
1.199 GHz,-58.397
1.200 GHz,-58.413
1.200 GHz,-58.428
1.200 GHz,-58.443
1.201 GHz,-58.458
1.201 GHz,-58.473
1.201 GHz,-58.488
1.201 GHz,-58.503
1.202 GHz,-58.518
1.202 GHz,-58.533
1.202 GHz,-58.548
1.202 GHz,-58.563
1.203 GHz,-58.578
1.203 GHz,-58.593
1.203 GHz,-58.608
1.204 GHz,-58.623
1.204 GHz,-58.638
1.204 GHz,-58.653
1.204 GHz,-58.668
1.205 GHz,-58.683
1.205 GHz,-58.698
1.205 GHz,-58.713
1.206 GHz,-58.728
1.206 GHz,-58.743
1.206 GHz,-58.758
1.206 GHz,-58.773
1.207 GHz,-58.788
1.207 GHz,-58.803
1.207 GHz,-58.818
1.208 GHz,-58.833
1.208 GHz,-58.848
1.208 GHz,-58.863
1.208 GHz,-58.878
1.209 GHz,-58.893
1.209 GHz,-58.908
1.209 GHz,-58.923
1.210 GHz,-58.938
1.210 GHz,-58.953
1.210 GHz,-58.967
1.210 GHz,-58.980
1.211 GHz,-58.993
1.211 GHz,-59.005
1.211 GHz,-59.018
1.212 GHz,-59.030
1.212 GHz,-59.043
1.212 GHz,-59.055
1.212 GHz,-59.068
1.213 GHz,-59.081
1.213 GHz,-59.093
1.213 GHz,-59.106
1.213 GHz,-59.118
1.214 GHz,-59.131
1.214 GHz,-59.143
1.214 GHz,-59.156
1.215 GHz,-59.168
1.215 GHz,-59.181
1.215 GHz,-59.194
1.215 GHz,-59.206
1.216 GHz,-59.219
1.216 GHz,-59.231
1.216 GHz,-59.244
1.217 GHz,-59.256
1.217 GHz,-59.269
1.217 GHz,-59.281
1.217 GHz,-59.294
1.218 GHz,-59.307
1.218 GHz,-59.319
1.218 GHz,-59.332
1.219 GHz,-59.344
1.219 GHz,-59.357
1.219 GHz,-59.369
1.219 GHz,-59.382
1.220 GHz,-59.394
1.220 GHz,-59.407
1.220 GHz,-59.420
1.220 GHz,-59.432
1.221 GHz,-59.445
1.221 GHz,-59.458
1.221 GHz,-59.471
1.222 GHz,-59.484
1.222 GHz,-59.496
1.222 GHz,-59.509
1.222 GHz,-59.522
1.223 GHz,-59.535
1.223 GHz,-59.548
1.223 GHz,-59.560
1.224 GHz,-59.573
1.224 GHz,-59.586
1.224 GHz,-59.599
1.224 GHz,-59.611
1.225 GHz,-59.624
1.225 GHz,-59.637
1.225 GHz,-59.650
1.226 GHz,-59.663
1.226 GHz,-59.675
1.226 GHz,-59.688
1.226 GHz,-59.701
1.227 GHz,-59.714
1.227 GHz,-59.726
1.227 GHz,-59.739
1.228 GHz,-59.752
1.228 GHz,-59.765
1.228 GHz,-59.777
1.228 GHz,-59.790
1.229 GHz,-59.803
1.229 GHz,-59.816
1.229 GHz,-59.829
1.230 GHz,-59.841
1.230 GHz,-59.854
1.230 GHz,-59.868
1.230 GHz,-59.886
1.231 GHz,-59.903
1.231 GHz,-59.921
1.231 GHz,-59.939
1.231 GHz,-59.957
1.232 GHz,-59.974
1.232 GHz,-59.992
1.232 GHz,-60.010
1.233 GHz,-60.028
1.233 GHz,-60.045
1.233 GHz,-60.063
1.233 GHz,-60.081
1.234 GHz,-60.099
1.234 GHz,-60.116
1.234 GHz,-60.134
1.235 GHz,-60.152
1.235 GHz,-60.169
1.235 GHz,-60.187
1.235 GHz,-60.205
1.236 GHz,-60.223
1.236 GHz,-60.240
1.236 GHz,-60.258
1.237 GHz,-60.276
1.237 GHz,-60.294
1.237 GHz,-60.311
1.237 GHz,-60.329
1.238 GHz,-60.347
1.238 GHz,-60.364
1.238 GHz,-60.382
1.238 GHz,-60.400
1.239 GHz,-60.418
1.239 GHz,-60.435
1.239 GHz,-60.453
1.240 GHz,-60.471
1.240 GHz,-60.488
1.240 GHz,-60.503
1.240 GHz,-60.516
1.241 GHz,-60.529
1.241 GHz,-60.542
1.241 GHz,-60.555
1.242 GHz,-60.568
1.242 GHz,-60.581
1.242 GHz,-60.594
1.242 GHz,-60.607
1.243 GHz,-60.620
1.243 GHz,-60.633
1.243 GHz,-60.645
1.244 GHz,-60.658
1.244 GHz,-60.671
1.244 GHz,-60.684
1.244 GHz,-60.697
1.245 GHz,-60.710
1.245 GHz,-60.723
1.245 GHz,-60.736
1.246 GHz,-60.749
1.246 GHz,-60.762
1.246 GHz,-60.775
1.246 GHz,-60.788
1.247 GHz,-60.801
1.247 GHz,-60.814
1.247 GHz,-60.827
1.248 GHz,-60.840
1.248 GHz,-60.853
1.248 GHz,-60.865
1.248 GHz,-60.878
1.249 GHz,-60.891
1.249 GHz,-60.904
1.249 GHz,-60.917
1.249 GHz,-60.930
1.250 GHz,-60.943
1.250 GHz,-60.956
1.250 GHz,-60.971
1.251 GHz,-60.985
1.251 GHz,-60.999
1.251 GHz,-61.014
1.251 GHz,-61.028
1.252 GHz,-61.042
1.252 GHz,-61.057
1.252 GHz,-61.071
1.253 GHz,-61.085
1.253 GHz,-61.100
1.253 GHz,-61.114
1.253 GHz,-61.128
1.254 GHz,-61.143
1.254 GHz,-61.157
1.254 GHz,-61.171
1.255 GHz,-61.186
1.255 GHz,-61.200
1.255 GHz,-61.214
1.255 GHz,-61.229
1.256 GHz,-61.243
1.256 GHz,-61.257
1.256 GHz,-61.272
1.256 GHz,-61.286
1.257 GHz,-61.300
1.257 GHz,-61.314
1.257 GHz,-61.329
1.258 GHz,-61.343
1.258 GHz,-61.357
1.258 GHz,-61.372
1.258 GHz,-61.386
1.259 GHz,-61.400
1.259 GHz,-61.415
1.259 GHz,-61.429
1.260 GHz,-61.443
1.260 GHz,-61.458
1.260 GHz,-61.473
1.260 GHz,-61.488
1.261 GHz,-61.503
1.261 GHz,-61.518
1.261 GHz,-61.533
1.262 GHz,-61.549
1.262 GHz,-61.564
1.262 GHz,-61.579
1.262 GHz,-61.594
1.263 GHz,-61.609
1.263 GHz,-61.625
1.263 GHz,-61.640
1.264 GHz,-61.655
1.264 GHz,-61.670
1.264 GHz,-61.686
1.264 GHz,-61.701
1.265 GHz,-61.716
1.265 GHz,-61.731
1.265 GHz,-61.746
1.266 GHz,-61.762
1.266 GHz,-61.777
1.266 GHz,-61.792
1.266 GHz,-61.807
1.267 GHz,-61.822
1.267 GHz,-61.838
1.267 GHz,-61.853
1.267 GHz,-61.868
1.268 GHz,-61.883
1.268 GHz,-61.898
1.268 GHz,-61.914
1.269 GHz,-61.929
1.269 GHz,-61.944
1.269 GHz,-61.959
1.269 GHz,-61.974
1.270 GHz,-61.990
1.270 GHz,-62.005
1.270 GHz,-62.024
1.271 GHz,-62.042
1.271 GHz,-62.061
1.271 GHz,-62.080
1.271 GHz,-62.099
1.272 GHz,-62.118
1.272 GHz,-62.137
1.272 GHz,-62.155
1.273 GHz,-62.174
1.273 GHz,-62.193
1.273 GHz,-62.212
1.273 GHz,-62.231
1.274 GHz,-62.249
1.274 GHz,-62.268
1.274 GHz,-62.287
1.274 GHz,-62.306
1.275 GHz,-62.325
1.275 GHz,-62.343
1.275 GHz,-62.362
1.276 GHz,-62.381
1.276 GHz,-62.400
1.276 GHz,-62.419
1.276 GHz,-62.437
1.277 GHz,-62.456
1.277 GHz,-62.475
1.277 GHz,-62.494
1.278 GHz,-62.513
1.278 GHz,-62.532
1.278 GHz,-62.550
1.278 GHz,-62.569
1.279 GHz,-62.588
1.279 GHz,-62.607
1.279 GHz,-62.626
1.280 GHz,-62.644
1.280 GHz,-62.663
1.280 GHz,-62.680
1.280 GHz,-62.695
1.281 GHz,-62.710
1.281 GHz,-62.725
1.281 GHz,-62.740
