"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real"
2.491 nsec,3.791 fV
2.496 nsec,1.717 fV
2.501 nsec,-90.75 aV
2.506 nsec,-1.958 fV
2.511 nsec,-3.189 fV
2.516 nsec,-4.190 fV
2.521 nsec,-5.335 fV
2.526 nsec,-6.483 fV
2.531 nsec,-6.804 fV
2.536 nsec,-5.955 fV
2.541 nsec,-4.963 fV
2.546 nsec,-4.780 fV
2.551 nsec,-5.269 fV
2.556 nsec,-5.831 fV
2.561 nsec,-5.631 fV
2.566 nsec,-5.371 fV
2.571 nsec,-6.128 fV
2.576 nsec,-7.555 fV
2.581 nsec,-7.445 fV
2.586 nsec,-6.123 fV
2.591 nsec,-4.912 fV
2.596 nsec,-3.933 fV
2.601 nsec,-2.852 fV
2.606 nsec,-1.997 fV
2.611 nsec,-1.522 fV
2.616 nsec,-805.8 aV
2.621 nsec,71.72 aV
2.626 nsec,482.3 aV
2.631 nsec,758.9 aV
2.636 nsec,1.159 fV
2.641 nsec,2.112 fV
2.646 nsec,3.831 fV
2.651 nsec,6.130 fV
2.656 nsec,8.326 fV
2.661 nsec,10.16 fV
2.666 nsec,12.41 fV
2.671 nsec,14.98 fV
2.676 nsec,16.56 fV
2.681 nsec,17.49 fV
2.686 nsec,18.37 fV
2.691 nsec,19.01 fV
2.696 nsec,19.98 fV
2.701 nsec,21.59 fV
2.706 nsec,22.13 fV
2.711 nsec,21.06 fV
2.716 nsec,20.23 fV
2.721 nsec,20.24 fV
2.726 nsec,19.05 fV
2.731 nsec,17.26 fV
2.736 nsec,16.10 fV
2.741 nsec,15.15 fV
2.746 nsec,13.97 fV
2.751 nsec,13.14 fV
2.756 nsec,11.92 fV
2.761 nsec,10.26 fV
2.766 nsec,9.065 fV
2.771 nsec,8.687 fV
2.776 nsec,7.771 fV
2.781 nsec,5.892 fV
2.786 nsec,4.552 fV
2.791 nsec,4.077 fV
2.796 nsec,3.398 fV
2.801 nsec,2.578 fV
2.806 nsec,2.034 fV
2.811 nsec,1.772 fV
2.816 nsec,1.929 fV
2.821 nsec,2.462 fV
2.826 nsec,3.071 fV
2.831 nsec,3.512 fV
2.836 nsec,3.734 fV
2.841 nsec,3.944 fV
2.846 nsec,4.438 fV
2.851 nsec,4.830 fV
2.856 nsec,4.966 fV
2.861 nsec,4.800 fV
2.866 nsec,4.848 fV
2.871 nsec,4.865 fV
2.876 nsec,5.233 fV
2.881 nsec,5.603 fV
2.886 nsec,6.282 fV
2.891 nsec,6.989 fV
2.896 nsec,8.318 fV
2.901 nsec,9.582 fV
2.906 nsec,9.842 fV
2.911 nsec,9.615 fV
2.916 nsec,9.797 fV
2.921 nsec,9.871 fV
2.926 nsec,9.266 fV
2.931 nsec,8.273 fV
2.936 nsec,7.095 fV
2.941 nsec,5.488 fV
2.946 nsec,3.149 fV
2.951 nsec,1.070 fV
2.956 nsec,-1.521 fV
2.961 nsec,-4.406 fV
2.966 nsec,-5.586 fV
2.971 nsec,-5.686 fV
2.976 nsec,-6.522 fV
2.981 nsec,-6.944 fV
2.986 nsec,-5.506 fV
2.991 nsec,-3.568 fV
2.996 nsec,-2.146 fV
3.001 nsec,-414.8 aV
3.006 nsec,1.717 fV
3.011 nsec,3.537 fV
3.016 nsec,5.372 fV
3.021 nsec,7.185 fV
3.026 nsec,8.406 fV
3.031 nsec,9.952 fV
3.036 nsec,12.21 fV
3.041 nsec,14.26 fV
3.046 nsec,15.11 fV
3.051 nsec,16.44 fV
3.056 nsec,18.86 fV
3.061 nsec,20.75 fV
3.066 nsec,22.74 fV
3.071 nsec,25.04 fV
3.076 nsec,25.92 fV
3.081 nsec,25.25 fV
3.086 nsec,24.89 fV
3.091 nsec,25.26 fV
3.096 nsec,25.47 fV
3.101 nsec,25.21 fV
3.106 nsec,24.83 fV
3.111 nsec,24.26 fV
3.116 nsec,23.24 fV
3.121 nsec,21.74 fV
3.126 nsec,19.93 fV
3.131 nsec,18.12 fV
3.136 nsec,16.50 fV
3.141 nsec,14.56 fV
3.146 nsec,11.90 fV
3.151 nsec,9.346 fV
3.156 nsec,7.903 fV
3.161 nsec,7.056 fV
3.166 nsec,6.126 fV
3.171 nsec,4.827 fV
3.176 nsec,3.136 fV
3.181 nsec,1.471 fV
3.186 nsec,-407.8 aV
3.191 nsec,-2.509 fV
3.196 nsec,-4.912 fV
3.201 nsec,-6.642 fV
3.206 nsec,-7.889 fV
