"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.855 GHz,-0.448
2.855 GHz,4.405
2.855 GHz,3.969
2.855 GHz,0.000
2.855 GHz,84.644
2.855 GHz,-0.891
2.855 GHz,-5.304
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,85.533
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-85.978
2.855 GHz,85.533
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-85.978
2.855 GHz,-0.448
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-85.978
2.855 GHz,0.000
2.855 GHz,85.088
2.855 GHz,0.000
2.856 GHz,-85.533
2.856 GHz,0.000
2.856 GHz,-85.978
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,84.644
2.856 GHz,0.000
2.856 GHz,-0.224
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,-0.448
2.856 GHz,0.000
2.856 GHz,-85.310
2.856 GHz,-0.448
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,90.000
2.856 GHz,<invalid>
2.856 GHz,-0.224
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,-85.978
2.856 GHz,0.000
2.856 GHz,85.533
2.856 GHz,84.644
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,84.644
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,-0.224
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,-0.111
2.856 GHz,0.000
2.856 GHz,-0.224
2.856 GHz,85.310
2.856 GHz,0.000
2.856 GHz,-0.112
2.856 GHz,0.000
