"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.100,207.0 psec,-27.06 mV
3.100,210.0 psec,-27.64 mV
3.100,213.0 psec,-27.91 mV
3.100,216.0 psec,-27.97 mV
3.100,219.0 psec,-27.93 mV
3.100,222.0 psec,-27.91 mV
3.100,225.0 psec,-27.99 mV
3.100,228.0 psec,-28.27 mV
3.100,231.0 psec,-28.80 mV
3.100,234.0 psec,-29.63 mV
3.100,237.0 psec,-30.80 mV
3.100,240.0 psec,-32.32 mV
3.100,243.0 psec,-34.19 mV
3.100,246.0 psec,-36.39 mV
3.100,249.0 psec,-38.90 mV
3.100,252.0 psec,-41.67 mV
3.100,255.0 psec,-44.66 mV
3.100,258.0 psec,-47.80 mV
3.100,261.0 psec,-51.03 mV
3.100,264.0 psec,-54.26 mV
3.100,267.0 psec,-57.42 mV
3.100,270.0 psec,-60.40 mV
3.100,273.0 psec,-63.12 mV
3.100,276.0 psec,-65.49 mV
3.100,279.0 psec,-67.43 mV
3.100,282.0 psec,-68.87 mV
3.100,285.0 psec,-69.74 mV
3.100,288.0 psec,-70.00 mV
3.100,291.0 psec,-69.64 mV
3.100,294.0 psec,-68.65 mV
3.100,297.0 psec,-67.08 mV
3.100,300.0 psec,-64.96 mV
3.100,303.0 psec,-62.36 mV
3.100,306.0 psec,-59.37 mV
3.100,309.0 psec,-56.08 mV
3.100,312.0 psec,-52.57 mV
3.100,315.0 psec,-48.96 mV
3.100,318.0 psec,-45.32 mV
3.100,321.0 psec,-41.73 mV
3.100,324.0 psec,-38.24 mV
3.100,327.0 psec,-34.92 mV
3.100,330.0 psec,-31.78 mV
3.100,333.0 psec,-28.86 mV
3.100,336.0 psec,-26.15 mV
3.100,339.0 psec,-23.65 mV
3.100,342.0 psec,-21.37 mV
3.100,345.0 psec,-19.29 mV
3.100,348.0 psec,-17.40 mV
3.100,351.0 psec,-15.69 mV
3.100,354.0 psec,-14.15 mV
3.100,357.0 psec,-12.77 mV
3.100,360.0 psec,-11.54 mV
3.100,363.0 psec,-10.45 mV
3.100,366.0 psec,-9.468 mV
3.100,369.0 psec,-8.580 mV
3.100,372.0 psec,-7.754 mV
3.100,375.0 psec,-6.958 mV
3.100,378.0 psec,-6.155 mV
3.100,381.0 psec,-5.306 mV
3.100,384.0 psec,-4.372 mV
3.100,387.0 psec,-3.312 mV
3.100,390.0 psec,-2.092 mV
3.100,393.0 psec,-677.7 uV
3.100,396.0 psec,962.9 uV
3.100,399.0 psec,2.858 mV
3.100,402.0 psec,5.036 mV
3.100,405.0 psec,7.523 mV
3.100,408.0 psec,10.35 mV
3.100,411.0 psec,13.54 mV
3.100,414.0 psec,17.13 mV
3.100,417.0 psec,21.14 mV
3.100,420.0 psec,25.60 mV
3.100,423.0 psec,30.52 mV
3.100,426.0 psec,35.90 mV
3.100,429.0 psec,41.72 mV
3.100,432.0 psec,47.95 mV
3.100,435.0 psec,54.53 mV
3.100,438.0 psec,61.35 mV
3.100,441.0 psec,68.31 mV
3.100,444.0 psec,75.25 mV
3.100,447.0 psec,82.00 mV
3.100,450.0 psec,88.40 mV
3.100,453.0 psec,94.25 mV
3.100,456.0 psec,99.36 mV
3.100,459.0 psec,103.6 mV
3.100,462.0 psec,106.7 mV
3.100,465.0 psec,108.7 mV
3.100,468.0 psec,109.4 mV
3.100,471.0 psec,108.9 mV
3.100,474.0 psec,107.0 mV
3.100,477.0 psec,103.8 mV
3.100,480.0 psec,99.46 mV
3.100,483.0 psec,94.01 mV
3.100,486.0 psec,87.59 mV
3.100,489.0 psec,80.36 mV
3.100,492.0 psec,72.49 mV
3.100,495.0 psec,64.14 mV
3.100,498.0 psec,55.48 mV
3.100,501.0 psec,46.70 mV
3.100,504.0 psec,37.95 mV
3.100,507.0 psec,29.38 mV
3.100,510.0 psec,21.13 mV
3.100,513.0 psec,13.34 mV
3.100,516.0 psec,6.099 mV
3.100,519.0 psec,-499.5 uV
3.100,522.0 psec,-6.389 mV
3.100,525.0 psec,-11.53 mV
3.100,528.0 psec,-15.89 mV
3.100,531.0 psec,-19.49 mV
3.100,534.0 psec,-22.34 mV
3.100,537.0 psec,-24.50 mV
3.100,540.0 psec,-26.05 mV
3.100,543.0 psec,-27.06 mV
3.100,546.0 psec,-27.64 mV
3.100,549.0 psec,-27.91 mV
3.100,552.0 psec,-27.97 mV
3.100,555.0 psec,-27.93 mV
3.100,558.0 psec,-27.91 mV
3.100,561.0 psec,-27.99 mV
3.100,564.0 psec,-28.27 mV
3.100,567.0 psec,-28.80 mV
3.100,570.0 psec,-29.63 mV
3.100,573.0 psec,-30.80 mV
3.100,576.0 psec,-32.32 mV
3.100,579.0 psec,-34.19 mV
3.100,582.0 psec,-36.39 mV
3.100,585.0 psec,-38.90 mV
3.100,588.0 psec,-41.67 mV
3.100,591.0 psec,-44.66 mV
3.100,594.0 psec,-47.80 mV
3.100,597.0 psec,-51.03 mV
3.100,600.0 psec,-54.26 mV
3.100,603.0 psec,-57.42 mV
3.100,606.0 psec,-60.40 mV
3.100,609.0 psec,-63.12 mV
3.100,612.0 psec,-65.49 mV
3.100,615.0 psec,-67.43 mV
3.100,618.0 psec,-68.87 mV
3.100,621.0 psec,-69.74 mV
3.100,624.0 psec,-70.00 mV
3.100,627.0 psec,-69.64 mV
3.100,630.0 psec,-68.65 mV
3.100,633.0 psec,-67.08 mV
3.100,636.0 psec,-64.96 mV
3.100,639.0 psec,-62.36 mV
3.100,642.0 psec,-59.37 mV
3.100,645.0 psec,-56.08 mV
3.100,648.0 psec,-52.57 mV
3.100,651.0 psec,-48.96 mV
3.100,654.0 psec,-45.32 mV
3.100,657.0 psec,-41.73 mV
