"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
1.942 nsec,4.616 mV
1.947 nsec,4.594 mV
1.952 nsec,4.571 mV
1.957 nsec,4.548 mV
1.962 nsec,4.523 mV
1.967 nsec,4.498 mV
1.972 nsec,4.472 mV
1.977 nsec,4.445 mV
1.982 nsec,4.417 mV
1.987 nsec,4.388 mV
1.992 nsec,4.359 mV
1.997 nsec,4.329 mV
2.002 nsec,4.298 mV
2.007 nsec,4.267 mV
2.012 nsec,4.235 mV
2.017 nsec,4.202 mV
2.022 nsec,4.168 mV
2.027 nsec,4.134 mV
2.032 nsec,4.100 mV
2.037 nsec,4.065 mV
2.042 nsec,4.029 mV
2.047 nsec,3.993 mV
2.052 nsec,3.957 mV
2.057 nsec,3.919 mV
2.062 nsec,3.882 mV
2.067 nsec,3.844 mV
2.072 nsec,3.806 mV
2.077 nsec,3.767 mV
2.082 nsec,3.728 mV
2.087 nsec,3.688 mV
2.092 nsec,3.648 mV
2.097 nsec,3.608 mV
2.102 nsec,3.567 mV
2.107 nsec,3.526 mV
2.112 nsec,3.485 mV
2.117 nsec,3.443 mV
2.122 nsec,3.401 mV
2.127 nsec,3.359 mV
2.132 nsec,3.317 mV
2.137 nsec,3.274 mV
2.142 nsec,3.231 mV
2.147 nsec,3.187 mV
2.152 nsec,3.143 mV
2.157 nsec,3.099 mV
2.162 nsec,3.055 mV
2.167 nsec,3.010 mV
2.172 nsec,2.966 mV
2.177 nsec,2.920 mV
2.182 nsec,2.875 mV
2.187 nsec,2.829 mV
2.192 nsec,2.783 mV
2.197 nsec,2.737 mV
2.202 nsec,2.691 mV
2.207 nsec,2.644 mV
2.212 nsec,2.598 mV
2.217 nsec,2.551 mV
2.222 nsec,2.504 mV
2.227 nsec,2.456 mV
2.232 nsec,2.409 mV
2.237 nsec,2.361 mV
2.242 nsec,2.314 mV
2.247 nsec,2.266 mV
2.252 nsec,2.218 mV
2.257 nsec,2.170 mV
2.262 nsec,2.122 mV
2.267 nsec,2.075 mV
2.272 nsec,2.027 mV
2.277 nsec,1.979 mV
2.282 nsec,1.931 mV
2.287 nsec,1.884 mV
2.292 nsec,1.836 mV
2.297 nsec,1.789 mV
2.302 nsec,1.742 mV
2.307 nsec,1.695 mV
2.312 nsec,1.649 mV
2.317 nsec,1.603 mV
2.322 nsec,1.557 mV
2.327 nsec,1.511 mV
2.332 nsec,1.466 mV
2.337 nsec,1.421 mV
2.342 nsec,1.377 mV
2.347 nsec,1.333 mV
2.352 nsec,1.290 mV
2.357 nsec,1.247 mV
2.362 nsec,1.205 mV
2.367 nsec,1.163 mV
2.372 nsec,1.122 mV
2.377 nsec,1.082 mV
2.382 nsec,1.042 mV
2.387 nsec,1.003 mV
2.392 nsec,965.1 uV
2.397 nsec,927.5 uV
2.401 nsec,890.6 uV
2.406 nsec,854.5 uV
2.411 nsec,819.1 uV
2.416 nsec,784.5 uV
2.421 nsec,750.7 uV
2.426 nsec,717.7 uV
2.431 nsec,685.5 uV
2.436 nsec,654.0 uV
2.441 nsec,623.4 uV
2.446 nsec,593.6 uV
2.451 nsec,564.6 uV
2.456 nsec,536.4 uV
2.461 nsec,509.1 uV
2.466 nsec,482.5 uV
2.471 nsec,456.8 uV
2.476 nsec,431.9 uV
2.481 nsec,407.8 uV
2.486 nsec,384.5 uV
2.491 nsec,362.0 uV
2.496 nsec,340.3 uV
2.501 nsec,319.3 uV
2.506 nsec,299.2 uV
2.511 nsec,279.9 uV
2.516 nsec,261.4 uV
2.521 nsec,243.6 uV
2.526 nsec,226.6 uV
2.531 nsec,210.4 uV
2.536 nsec,194.9 uV
2.541 nsec,180.3 uV
2.546 nsec,166.4 uV
2.551 nsec,153.2 uV
