"freq
References : ['dB(Z(1,1))','dB(Z(2,2))']
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(1,1))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(2,2))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real"
129.7 MHz,59.999,60.143
129.7 MHz,59.996,60.139
129.8 MHz,59.993,60.136
129.8 MHz,59.989,60.132
129.8 MHz,59.986,60.129
129.9 MHz,59.982,60.126
129.9 MHz,59.979,60.122
130.0 MHz,59.976,60.119
130.1 MHz,59.972,60.116
130.1 MHz,59.969,60.112
130.2 MHz,59.966,60.109
130.2 MHz,59.962,60.106
130.2 MHz,59.959,60.102
130.3 MHz,59.955,60.099
130.3 MHz,59.952,60.096
130.4 MHz,59.949,60.092
130.4 MHz,59.945,60.089
130.5 MHz,59.942,60.086
130.6 MHz,59.938,60.082
130.6 MHz,59.935,60.079
130.7 MHz,59.932,60.076
130.7 MHz,59.928,60.072
130.8 MHz,59.925,60.069
130.8 MHz,59.921,60.066
130.8 MHz,59.918,60.062
130.9 MHz,59.915,60.059
130.9 MHz,59.911,60.056
131.0 MHz,59.908,60.053
131.1 MHz,59.905,60.049
131.1 MHz,59.901,60.046
131.2 MHz,59.898,60.043
131.2 MHz,59.894,60.039
131.2 MHz,59.891,60.036
131.3 MHz,59.888,60.033
131.3 MHz,59.884,60.029
131.4 MHz,59.881,60.026
131.4 MHz,59.878,60.023
131.5 MHz,59.874,60.019
131.6 MHz,59.871,60.016
131.6 MHz,59.868,60.013
131.7 MHz,59.864,60.009
131.7 MHz,59.861,60.006
131.8 MHz,59.857,60.003
131.8 MHz,59.854,60.000
131.8 MHz,59.851,59.996
131.9 MHz,59.847,59.993
131.9 MHz,59.844,59.990
132.0 MHz,59.841,59.986
132.1 MHz,59.837,59.983
132.1 MHz,59.834,59.980
132.2 MHz,59.831,59.977
132.2 MHz,59.827,59.973
132.2 MHz,59.824,59.970
132.3 MHz,59.821,59.967
132.3 MHz,59.817,59.963
132.4 MHz,59.814,59.960
132.4 MHz,59.811,59.957
132.5 MHz,59.807,59.954
132.6 MHz,59.804,59.950
132.6 MHz,59.801,59.947
132.7 MHz,59.797,59.944
132.7 MHz,59.794,59.940
132.8 MHz,59.791,59.937
132.8 MHz,59.787,59.934
132.8 MHz,59.784,59.931
132.9 MHz,59.781,59.927
132.9 MHz,59.777,59.924
133.0 MHz,59.774,59.921
133.1 MHz,59.771,59.918
133.1 MHz,59.767,59.914
133.2 MHz,59.764,59.911
133.2 MHz,59.761,59.908
133.2 MHz,59.757,59.905
133.3 MHz,59.754,59.901
133.3 MHz,59.751,59.898
133.4 MHz,59.747,59.895
133.4 MHz,59.744,59.891
133.5 MHz,59.741,59.888
133.6 MHz,59.737,59.885
133.6 MHz,59.734,59.882
133.7 MHz,59.731,59.878
133.7 MHz,59.727,59.875
133.8 MHz,59.724,59.872
133.8 MHz,59.721,59.869
133.8 MHz,59.718,59.865
133.9 MHz,59.714,59.862
133.9 MHz,59.711,59.859
134.0 MHz,59.708,59.856
134.1 MHz,59.704,59.852
134.1 MHz,59.701,59.849
134.2 MHz,59.698,59.846
134.2 MHz,59.694,59.843
134.2 MHz,59.691,59.840
134.3 MHz,59.688,59.836
134.3 MHz,59.685,59.833
134.4 MHz,59.681,59.830
134.4 MHz,59.678,59.827
134.5 MHz,59.675,59.823
134.6 MHz,59.671,59.820
134.6 MHz,59.668,59.817
134.7 MHz,59.665,59.814
134.7 MHz,59.662,59.810
134.8 MHz,59.658,59.807
134.8 MHz,59.655,59.804
134.8 MHz,59.652,59.801
134.9 MHz,59.648,59.798
134.9 MHz,59.645,59.794
135.0 MHz,59.642,59.791
135.1 MHz,59.639,59.788
135.1 MHz,59.635,59.785
135.2 MHz,59.632,59.781
135.2 MHz,59.629,59.778
135.2 MHz,59.626,59.775
135.3 MHz,59.622,59.772
135.3 MHz,59.619,59.769
135.4 MHz,59.616,59.765
135.4 MHz,59.612,59.762
135.5 MHz,59.609,59.759
135.6 MHz,59.606,59.756
135.6 MHz,59.603,59.753
135.7 MHz,59.599,59.749
135.7 MHz,59.596,59.746
135.8 MHz,59.593,59.743
135.8 MHz,59.590,59.740
135.8 MHz,59.586,59.737
135.9 MHz,59.583,59.733
135.9 MHz,59.580,59.730
136.0 MHz,59.577,59.727
136.1 MHz,59.573,59.724
136.1 MHz,59.570,59.721
136.2 MHz,59.567,59.717
136.2 MHz,59.564,59.714
136.2 MHz,59.560,59.711
136.3 MHz,59.557,59.708
136.3 MHz,59.554,59.705
136.4 MHz,59.551,59.701
136.4 MHz,59.547,59.698
136.5 MHz,59.544,59.695
136.6 MHz,59.541,59.692
136.6 MHz,59.538,59.689
136.7 MHz,59.534,59.686
136.7 MHz,59.531,59.682
136.8 MHz,59.528,59.679
136.8 MHz,59.525,59.676
136.8 MHz,59.522,59.673
136.9 MHz,59.518,59.670
136.9 MHz,59.515,59.666
137.0 MHz,59.512,59.663
137.1 MHz,59.509,59.660
137.1 MHz,59.505,59.657
137.2 MHz,59.502,59.654
137.2 MHz,59.499,59.651
137.2 MHz,59.496,59.647
137.3 MHz,59.492,59.644
137.3 MHz,59.489,59.641
137.4 MHz,59.486,59.638
137.4 MHz,59.483,59.635
137.5 MHz,59.480,59.632
137.6 MHz,59.476,59.628
137.6 MHz,59.473,59.625
137.7 MHz,59.470,59.622
137.7 MHz,59.467,59.619
137.8 MHz,59.464,59.616
137.8 MHz,59.460,59.613
137.8 MHz,59.457,59.610
137.9 MHz,59.454,59.606
137.9 MHz,59.451,59.603
138.0 MHz,59.448,59.600
138.1 MHz,59.444,59.597
138.1 MHz,59.441,59.594
138.2 MHz,59.438,59.591
138.2 MHz,59.435,59.588
138.2 MHz,59.432,59.584
138.3 MHz,59.428,59.581
138.3 MHz,59.425,59.578
138.4 MHz,59.422,59.575
138.4 MHz,59.419,59.572
138.5 MHz,59.416,59.569
138.6 MHz,59.412,59.566
138.6 MHz,59.409,59.562
138.7 MHz,59.406,59.559
138.7 MHz,59.403,59.556
138.8 MHz,59.400,59.553
138.8 MHz,59.396,59.550
138.8 MHz,59.393,59.547
138.9 MHz,59.390,59.544
138.9 MHz,59.387,59.540
139.0 MHz,59.384,59.537
139.1 MHz,59.381,59.534
139.1 MHz,59.377,59.531
139.2 MHz,59.374,59.528
139.2 MHz,59.371,59.525
139.2 MHz,59.368,59.522
139.3 MHz,59.365,59.519
139.3 MHz,59.361,59.516
139.4 MHz,59.358,59.512
139.4 MHz,59.355,59.509
139.5 MHz,59.352,59.506
139.6 MHz,59.349,59.503
139.6 MHz,59.346,59.500
139.7 MHz,59.342,59.497
139.7 MHz,59.339,59.494
139.8 MHz,59.336,59.491
139.8 MHz,59.333,59.487
139.8 MHz,59.330,59.484
139.9 MHz,59.327,59.481
139.9 MHz,59.323,59.478
140.0 MHz,59.320,59.475
140.1 MHz,59.317,59.472
140.1 MHz,59.314,59.469
140.2 MHz,59.311,59.466
140.2 MHz,59.308,59.463
140.2 MHz,59.305,59.460
140.3 MHz,59.302,59.456
140.3 MHz,59.299,59.453
140.4 MHz,59.297,59.450
140.4 MHz,59.294,59.447
140.5 MHz,59.291,59.444
140.6 MHz,59.288,59.441
140.6 MHz,59.285,59.438
140.7 MHz,59.282,59.435
140.7 MHz,59.279,59.432
140.8 MHz,59.276,59.429
140.8 MHz,59.273,59.426
140.8 MHz,59.270,59.422
140.9 MHz,59.267,59.419
140.9 MHz,59.264,59.416
141.0 MHz,59.261,59.413
141.1 MHz,59.258,59.410
141.1 MHz,59.255,59.407
141.2 MHz,59.252,59.404
141.2 MHz,59.249,59.401
141.2 MHz,59.246,59.398
141.3 MHz,59.243,59.395
141.3 MHz,59.240,59.392
141.4 MHz,59.237,59.389
141.4 MHz,59.234,59.386
