"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.153 GHz,-137.813
1.153 GHz,-137.802
1.154 GHz,-137.791
1.154 GHz,-137.781
1.154 GHz,-137.771
1.154 GHz,-137.760
1.155 GHz,-137.750
1.155 GHz,-137.741
1.155 GHz,-137.731
1.156 GHz,-137.721
1.156 GHz,-137.711
1.156 GHz,-137.702
1.156 GHz,-137.692
1.157 GHz,-137.683
1.157 GHz,-137.673
1.157 GHz,-137.663
1.157 GHz,-137.653
1.158 GHz,-137.643
1.158 GHz,-137.633
1.158 GHz,-137.623
1.159 GHz,-137.612
1.159 GHz,-137.602
1.159 GHz,-137.591
1.159 GHz,-137.580
1.160 GHz,-137.568
1.160 GHz,-137.557
1.160 GHz,-137.545
1.161 GHz,-137.533
1.161 GHz,-137.521
1.161 GHz,-137.509
1.161 GHz,-137.497
1.162 GHz,-137.484
1.162 GHz,-137.472
1.162 GHz,-137.460
1.163 GHz,-137.447
1.163 GHz,-137.435
1.163 GHz,-137.423
1.163 GHz,-137.410
1.164 GHz,-137.398
1.164 GHz,-137.385
1.164 GHz,-137.372
1.165 GHz,-137.360
1.165 GHz,-137.347
1.165 GHz,-137.335
1.165 GHz,-137.322
1.166 GHz,-137.309
1.166 GHz,-137.296
1.166 GHz,-137.284
1.167 GHz,-137.271
1.167 GHz,-137.258
1.167 GHz,-137.246
1.167 GHz,-137.233
1.168 GHz,-137.220
1.168 GHz,-137.207
1.168 GHz,-137.195
1.168 GHz,-137.182
1.169 GHz,-137.169
1.169 GHz,-137.157
1.169 GHz,-137.144
1.170 GHz,-137.131
1.170 GHz,-137.119
1.170 GHz,-137.106
1.170 GHz,-137.094
1.171 GHz,-137.081
1.171 GHz,-137.069
1.171 GHz,-137.057
1.172 GHz,-137.045
