"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.217 GHz,-120.918
1.217 GHz,-120.914
1.217 GHz,-120.910
1.217 GHz,-120.907
1.218 GHz,-120.904
1.218 GHz,-120.900
1.218 GHz,-120.897
1.219 GHz,-120.894
1.219 GHz,-120.891
1.219 GHz,-120.888
1.219 GHz,-120.886
1.220 GHz,-120.883
1.220 GHz,-120.881
1.220 GHz,-120.878
1.220 GHz,-120.876
1.221 GHz,-120.873
1.221 GHz,-120.870
1.221 GHz,-120.867
1.222 GHz,-120.864
1.222 GHz,-120.861
1.222 GHz,-120.858
1.222 GHz,-120.855
1.223 GHz,-120.852
1.223 GHz,-120.848
1.223 GHz,-120.845
1.224 GHz,-120.842
1.224 GHz,-120.838
1.224 GHz,-120.835
1.224 GHz,-120.832
1.225 GHz,-120.829
1.225 GHz,-120.827
1.225 GHz,-120.824
1.226 GHz,-120.822
1.226 GHz,-120.820
1.226 GHz,-120.818
1.226 GHz,-120.816
1.227 GHz,-120.814
1.227 GHz,-120.813
1.227 GHz,-120.812
1.228 GHz,-120.812
1.228 GHz,-120.812
1.228 GHz,-120.812
1.228 GHz,-120.812
1.229 GHz,-120.813
1.229 GHz,-120.815
1.229 GHz,-120.817
1.230 GHz,-120.819
1.230 GHz,-120.822
1.230 GHz,-120.825
1.230 GHz,-120.830
1.231 GHz,-120.834
1.231 GHz,-120.840
1.231 GHz,-120.846
1.231 GHz,-120.853
1.232 GHz,-120.861
1.232 GHz,-120.869
1.232 GHz,-120.877
1.233 GHz,-120.886
1.233 GHz,-120.895
1.233 GHz,-120.905
1.233 GHz,-120.915
1.234 GHz,-120.925
1.234 GHz,-120.936
1.234 GHz,-120.946
1.235 GHz,-120.957
1.235 GHz,-120.968
1.235 GHz,-120.979
1.235 GHz,-120.990
1.236 GHz,-121.000
1.236 GHz,-121.011
1.236 GHz,-121.022
1.237 GHz,-121.032
1.237 GHz,-121.042
1.237 GHz,-121.052
1.237 GHz,-121.062
1.238 GHz,-121.071
1.238 GHz,-121.080
1.238 GHz,-121.088
1.238 GHz,-121.096
1.239 GHz,-121.104
1.239 GHz,-121.110
1.239 GHz,-121.116
1.240 GHz,-121.122
1.240 GHz,-121.127
1.240 GHz,-121.131
1.240 GHz,-121.134
1.241 GHz,-121.137
1.241 GHz,-121.140
1.241 GHz,-121.142
1.242 GHz,-121.144
1.242 GHz,-121.145
1.242 GHz,-121.145
1.242 GHz,-121.146
1.243 GHz,-121.146
1.243 GHz,-121.146
1.243 GHz,-121.145
1.244 GHz,-121.145
1.244 GHz,-121.144
1.244 GHz,-121.143
1.244 GHz,-121.141
1.245 GHz,-121.140
1.245 GHz,-121.138
1.245 GHz,-121.137
1.246 GHz,-121.135
1.246 GHz,-121.134
1.246 GHz,-121.132
1.246 GHz,-121.130
1.247 GHz,-121.129
1.247 GHz,-121.127
1.247 GHz,-121.126
1.248 GHz,-121.125
1.248 GHz,-121.124
1.248 GHz,-121.123
1.248 GHz,-121.122
1.249 GHz,-121.122
1.249 GHz,-121.122
1.249 GHz,-121.122
1.249 GHz,-121.123
1.250 GHz,-121.124
1.250 GHz,-121.125
1.250 GHz,-121.127
1.251 GHz,-121.129
1.251 GHz,-121.130
1.251 GHz,-121.132
1.251 GHz,-121.134
1.252 GHz,-121.136
1.252 GHz,-121.139
1.252 GHz,-121.141
1.253 GHz,-121.143
1.253 GHz,-121.146
1.253 GHz,-121.148
1.253 GHz,-121.151
1.254 GHz,-121.154
1.254 GHz,-121.156
1.254 GHz,-121.159
1.255 GHz,-121.162
1.255 GHz,-121.165
1.255 GHz,-121.169
1.255 GHz,-121.172
1.256 GHz,-121.175
1.256 GHz,-121.179
1.256 GHz,-121.182
1.256 GHz,-121.186
1.257 GHz,-121.189
1.257 GHz,-121.193
1.257 GHz,-121.197
1.258 GHz,-121.200
1.258 GHz,-121.204
1.258 GHz,-121.208
1.258 GHz,-121.212
1.259 GHz,-121.216
1.259 GHz,-121.220
1.259 GHz,-121.225
1.260 GHz,-121.229
1.260 GHz,-121.233
1.260 GHz,-121.237
1.260 GHz,-121.242
1.261 GHz,-121.246
1.261 GHz,-121.250
1.261 GHz,-121.254
1.262 GHz,-121.258
1.262 GHz,-121.263
1.262 GHz,-121.267
1.262 GHz,-121.271
1.263 GHz,-121.275
1.263 GHz,-121.279
1.263 GHz,-121.284
1.264 GHz,-121.288
1.264 GHz,-121.293
1.264 GHz,-121.297
1.264 GHz,-121.302
1.265 GHz,-121.306
1.265 GHz,-121.311
1.265 GHz,-121.316
1.266 GHz,-121.321
1.266 GHz,-121.327
1.266 GHz,-121.332
1.266 GHz,-121.338
1.267 GHz,-121.343
1.267 GHz,-121.349
1.267 GHz,-121.356
1.267 GHz,-121.362
1.268 GHz,-121.369
1.268 GHz,-121.375
1.268 GHz,-121.383
1.269 GHz,-121.390
1.269 GHz,-121.398
1.269 GHz,-121.405
1.269 GHz,-121.414
1.270 GHz,-121.422
1.270 GHz,-121.431
1.270 GHz,-121.440
1.271 GHz,-121.450
1.271 GHz,-121.460
1.271 GHz,-121.471
1.271 GHz,-121.482
1.272 GHz,-121.494
1.272 GHz,-121.506
1.272 GHz,-121.518
1.273 GHz,-121.531
1.273 GHz,-121.544
1.273 GHz,-121.557
1.273 GHz,-121.571
1.274 GHz,-121.584
1.274 GHz,-121.598
1.274 GHz,-121.612
1.274 GHz,-121.626
1.275 GHz,-121.640
1.275 GHz,-121.654
1.275 GHz,-121.668
1.276 GHz,-121.682
1.276 GHz,-121.696
1.276 GHz,-121.710
1.276 GHz,-121.723
1.277 GHz,-121.737
1.277 GHz,-121.750
1.277 GHz,-121.763
1.278 GHz,-121.776
1.278 GHz,-121.788
1.278 GHz,-121.801
1.278 GHz,-121.812
1.279 GHz,-121.824
1.279 GHz,-121.835
1.279 GHz,-121.845
1.280 GHz,-121.855
1.280 GHz,-121.865
1.280 GHz,-121.874
1.280 GHz,-121.883
1.281 GHz,-121.891
1.281 GHz,-121.899
1.281 GHz,-121.907
1.282 GHz,-121.915
1.282 GHz,-121.922
1.282 GHz,-121.929
1.282 GHz,-121.936
1.283 GHz,-121.943
1.283 GHz,-121.949
1.283 GHz,-121.956
1.284 GHz,-121.962
1.284 GHz,-121.968
1.284 GHz,-121.973
1.284 GHz,-121.979
1.285 GHz,-121.985
1.285 GHz,-121.990
1.285 GHz,-121.995
1.285 GHz,-122.000
