"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
3.075 GHz,-25.017
3.075 GHz,155.556
3.075 GHz,-20.854
3.076 GHz,11.776
3.076 GHz,119.291
3.077 GHz,39.920
3.078 GHz,-17.616
3.078 GHz,126.870
3.079 GHz,-83.991
3.079 GHz,180.000
3.079 GHz,0.000
3.080 GHz,150.709
3.080 GHz,-25.702
3.081 GHz,-38.264
3.082 GHz,-12.095
3.082 GHz,114.775
3.083 GHz,-168.096
3.083 GHz,147.840
3.083 GHz,-10.670
3.084 GHz,-15.246
3.084 GHz,-134.444
3.085 GHz,-4.540
3.086 GHz,-44.575
3.086 GHz,-167.706
3.087 GHz,93.092
3.087 GHz,-114.175
3.087 GHz,9.039
3.088 GHz,13.499
3.088 GHz,-4.898
3.089 GHz,160.253
3.090 GHz,119.745
3.090 GHz,-159.309
3.091 GHz,-163.149
3.091 GHz,1.475
3.091 GHz,12.358
3.092 GHz,-15.709
3.092 GHz,-5.641
3.093 GHz,11.434
3.094 GHz,-104.036
3.094 GHz,6.282
3.095 GHz,-18.435
3.095 GHz,-153.978
3.095 GHz,-149.036
3.096 GHz,177.852
3.096 GHz,-14.657
3.097 GHz,177.274
3.098 GHz,-9.349
3.098 GHz,153.435
3.099 GHz,2.831
3.099 GHz,-152.650
3.099 GHz,-93.180
3.100 GHz,-93.066
