"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
3.401 nsec,2.212 mV
3.406 nsec,2.212 mV
3.411 nsec,2.211 mV
3.416 nsec,2.211 mV
3.421 nsec,2.210 mV
3.426 nsec,2.208 mV
3.431 nsec,2.207 mV
3.436 nsec,2.205 mV
3.441 nsec,2.202 mV
3.446 nsec,2.200 mV
3.451 nsec,2.197 mV
3.456 nsec,2.194 mV
3.461 nsec,2.190 mV
3.466 nsec,2.186 mV
3.471 nsec,2.182 mV
3.476 nsec,2.177 mV
3.481 nsec,2.173 mV
3.486 nsec,2.167 mV
3.491 nsec,2.162 mV
3.496 nsec,2.156 mV
3.501 nsec,2.149 mV
3.506 nsec,2.142 mV
3.511 nsec,2.135 mV
3.516 nsec,2.128 mV
3.521 nsec,2.120 mV
3.526 nsec,2.111 mV
3.531 nsec,2.102 mV
3.536 nsec,2.093 mV
3.541 nsec,2.083 mV
3.546 nsec,2.073 mV
3.551 nsec,2.063 mV
3.556 nsec,2.052 mV
3.561 nsec,2.040 mV
3.566 nsec,2.028 mV
3.571 nsec,2.016 mV
3.576 nsec,2.003 mV
3.581 nsec,1.990 mV
3.586 nsec,1.977 mV
3.591 nsec,1.963 mV
3.596 nsec,1.948 mV
3.601 nsec,1.934 mV
3.606 nsec,1.918 mV
3.611 nsec,1.903 mV
3.616 nsec,1.887 mV
3.621 nsec,1.871 mV
3.626 nsec,1.854 mV
3.631 nsec,1.837 mV
3.636 nsec,1.820 mV
3.641 nsec,1.803 mV
3.646 nsec,1.785 mV
3.651 nsec,1.767 mV
3.656 nsec,1.749 mV
3.661 nsec,1.731 mV
3.666 nsec,1.712 mV
3.671 nsec,1.693 mV
3.676 nsec,1.674 mV
3.681 nsec,1.655 mV
3.686 nsec,1.636 mV
3.691 nsec,1.616 mV
3.696 nsec,1.597 mV
3.701 nsec,1.577 mV
3.706 nsec,1.557 mV
3.711 nsec,1.538 mV
3.716 nsec,1.518 mV
3.721 nsec,1.498 mV
3.726 nsec,1.478 mV
3.731 nsec,1.458 mV
