"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.100,438.7 psec,58.09 mV
5.100,441.7 psec,69.79 mV
5.100,444.7 psec,81.69 mV
5.100,447.7 psec,93.61 mV
5.100,450.7 psec,105.4 mV
5.100,453.7 psec,116.8 mV
5.100,456.7 psec,127.7 mV
5.100,459.7 psec,137.7 mV
5.100,462.7 psec,146.8 mV
5.100,465.7 psec,154.7 mV
5.100,468.7 psec,161.3 mV
5.100,471.7 psec,166.3 mV
5.100,474.7 psec,169.8 mV
5.100,477.7 psec,171.5 mV
5.100,480.7 psec,171.5 mV
5.100,483.7 psec,169.8 mV
5.100,486.8 psec,166.4 mV
5.100,489.8 psec,161.4 mV
5.100,492.8 psec,154.8 mV
5.100,495.8 psec,147.0 mV
5.100,498.8 psec,137.9 mV
5.100,501.8 psec,127.8 mV
5.100,504.8 psec,116.9 mV
5.100,507.8 psec,105.5 mV
5.100,510.8 psec,93.61 mV
5.100,513.8 psec,81.57 mV
5.100,516.8 psec,69.54 mV
5.100,519.8 psec,57.73 mV
5.100,522.8 psec,46.30 mV
5.100,525.8 psec,35.40 mV
5.100,528.8 psec,25.17 mV
5.100,531.8 psec,15.72 mV
5.100,534.8 psec,7.138 mV
5.100,537.8 psec,-529.1 uV
5.100,540.8 psec,-7.250 mV
5.100,543.8 psec,-13.03 mV
5.100,546.8 psec,-17.89 mV
5.100,549.9 psec,-21.89 mV
5.100,552.9 psec,-25.10 mV
5.100,555.9 psec,-27.63 mV
5.100,558.9 psec,-29.57 mV
5.100,561.9 psec,-31.05 mV
5.100,564.9 psec,-32.19 mV
5.100,567.9 psec,-33.11 mV
5.100,570.9 psec,-33.94 mV
5.100,573.9 psec,-34.79 mV
5.100,576.9 psec,-35.75 mV
5.100,579.9 psec,-36.91 mV
5.100,582.9 psec,-38.35 mV
5.100,585.9 psec,-40.12 mV
5.100,588.9 psec,-42.26 mV
5.100,591.9 psec,-44.79 mV
5.100,594.9 psec,-47.72 mV
5.100,597.9 psec,-51.03 mV
5.100,600.9 psec,-54.69 mV
5.100,603.9 psec,-58.67 mV
5.100,606.9 psec,-62.88 mV
5.100,609.9 psec,-67.25 mV
5.100,612.9 psec,-71.70 mV
5.100,616.0 psec,-76.11 mV
5.100,619.0 psec,-80.38 mV
5.100,622.0 psec,-84.40 mV
5.100,625.0 psec,-88.04 mV
5.100,628.0 psec,-91.20 mV
5.100,631.0 psec,-93.79 mV
5.100,634.0 psec,-95.71 mV
5.100,637.0 psec,-96.92 mV
5.100,640.0 psec,-97.37 mV
5.100,643.0 psec,-97.06 mV
5.100,646.0 psec,-95.99 mV
5.100,649.0 psec,-94.22 mV
5.100,652.0 psec,-91.80 mV
5.100,655.0 psec,-88.82 mV
5.100,658.0 psec,-85.39 mV
5.100,661.0 psec,-81.63 mV
5.100,664.0 psec,-77.64 mV
5.100,667.0 psec,-73.55 mV
5.100,670.0 psec,-69.46 mV
5.100,673.0 psec,-65.50 mV
5.200,0.0000 sec,-67.29 mV
5.200,3.005 psec,-63.39 mV
5.200,6.009 psec,-59.79 mV
5.200,9.014 psec,-56.53 mV
5.200,12.02 psec,-53.67 mV
5.200,15.02 psec,-51.22 mV
5.200,18.03 psec,-49.20 mV
5.200,21.03 psec,-47.59 mV
5.200,24.04 psec,-46.36 mV
